n	pca1	pca2
582	99.5249	0.475066
583	99.4807	0.519343
584	99.355	0.645008
585	99.4693	0.530744
586	99.5119	0.48814
587	99.9413	0.0587184
588	99.8038	0.196161
589	99.5653	0.434664
590	99.7106	0.289398
591	99.6687	0.331254
592	99.9667	0.0332818
593	99.7783	0.221696
594	98.7342	1.26577
595	99.4446	0.555444
596	99.6257	0.374253
597	99.8849	0.115058
598	99.9714	0.0285548
599	99.958	0.0420125
600	99.9732	0.026828
601	99.963	0.0369723
602	99.8116	0.188419
603	99.8192	0.180803
604	99.9205	0.0794849
605	99.6582	0.341819
606	99.467	0.532984
607	99.6854	0.31461
608	99.9196	0.0803881
609	99.9351	0.0648722
610	99.9549	0.0451212
611	99.0718	0.928184
612	99.6411	0.358862
613	99.5151	0.484912
614	99.8839	0.116118
615	99.7684	0.231645
616	99.863	0.136971
617	99.7182	0.281797
618	99.9599	0.0400906
619	99.9628	0.0371669
620	99.8691	0.130882
621	99.8684	0.131646
622	99.7035	0.29651
623	99.7705	0.229478
624	99.8894	0.110604
625	99.9843	0.0157284
626	99.8827	0.11732
627	99.9552	0.0447583
628	99.9831	0.0168829
629	99.9588	0.0411797
630	99.9532	0.0468242
631	99.4216	0.578393
632	99.7119	0.288082
633	99.9147	0.0852578
634	99.9206	0.0794263
635	99.5014	0.498617
636	99.9121	0.0878798
637	98.8395	1.16055
638	98.7088	1.29123
639	98.957	1.04298
640	99.5412	0.458847
641	99.9499	0.0501076
642	99.8938	0.106247
643	99.7847	0.215318
644	99.9746	0.0253707
645	99.9514	0.048622
646	99.7854	0.21461
647	99.9683	0.0317263
648	99.7741	0.225857
649	99.9064	0.0936407
650	99.4658	0.534226
651	99.1151	0.884913
652	99.7093	0.290697
653	99.3778	0.622189
654	98.8892	1.11082
655	98.5033	1.49667
656	99.2101	0.789938
657	99.1881	0.811873
658	99.7944	0.205576
659	99.8222	0.17779
660	99.0582	0.941834
661	99.079	0.920951
662	97.9769	2.02314
663	99.2762	0.723787
664	99.8324	0.167584
665	99.9294	0.0706167
666	99.7471	0.25289
667	99.4829	0.517062
668	99.9387	0.0612945
669	99.973	0.0270492
670	99.9008	0.099226
671	99.7424	0.257588
672	99.9403	0.0596944
673	99.8768	0.123196
674	99.8928	0.107223
675	99.5942	0.405815
676	99.9587	0.041349
677	99.8664	0.133554
678	99.3962	0.603828
679	99.5889	0.411123
680	99.895	0.104981
681	99.9557	0.0442539
682	99.8358	0.164225
683	99.9039	0.0961184
684	99.1536	0.84637
685	99.4879	0.512059
686	99.2214	0.778607
687	99.7606	0.239384
688	99.3606	0.639432
689	99.8543	0.145719
690	99.8544	0.145586
691	97.7425	2.25745
692	99.0701	0.929852
693	99.556	0.443954
694	99.6666	0.333413
695	99.3981	0.601943
696	98.9703	1.02966
697	99.4718	0.528244
698	99.5372	0.462811
699	99.6163	0.383678
700	99.0285	0.971497
701	99.3796	0.62042
702	99.3214	0.678609
703	99.2612	0.738807
704	99.5456	0.454446
705	99.0274	0.972621
706	99.4191	0.580856
707	99.431	0.568982
708	99.1738	0.826238
709	97.8773	2.12274
710	98.7804	1.2196
711	99.5792	0.420786
712	98.9788	1.02125
713	98.6605	1.33946
714	99.6871	0.312868
715	99.1518	0.848172
716	99.3373	0.662714
717	99.3235	0.676504
718	99.3266	0.673401
719	99.314	0.686004
720	99.3748	0.625248
721	99.0076	0.99237
722	98.3946	1.60544
723	99.2506	0.749361
724	98.9112	1.08883
725	98.6087	1.39126
726	99.3382	0.661789
727	99.5811	0.418919
728	99.3171	0.682909
729	98.935	1.06498
730	98.9963	1.00372
731	99.7088	0.291198
732	98.5242	1.47577
733	99.2046	0.79538
734	99.1788	0.82117
735	99.2294	0.770644
736	99.4851	0.514865
737	99.3947	0.605328
738	99.2701	0.729934
739	98.9795	1.02052
740	99.2694	0.730568
741	99.5151	0.484901
742	99.5237	0.47635
743	99.2801	0.719864
744	99.3604	0.639585
745	99.6053	0.394743
746	99.4504	0.549563
747	99.0711	0.92887
748	99.7054	0.294576
749	99.4629	0.537102
750	99.4394	0.560573
751	99.4211	0.578934
752	99.326	0.67399
753	99.2166	0.783443
754	98.8342	1.16579
755	99.1911	0.808882
756	99.054	0.946028
757	99.3006	0.699389
758	99.7148	0.285208
759	99.6021	0.397911
760	99.0851	0.914878
761	99.6268	0.373166
762	99.323	0.676958
763	99.3258	0.674213
764	99.0933	0.906691
765	99.2386	0.761416
766	99.31	0.690026
767	99.3263	0.673737
768	99.6249	0.375091
769	99.3857	0.614275
770	99.0038	0.996224
771	99.946	0.0540283
772	99.9557	0.0442825
773	99.5721	0.427884
774	99.8559	0.144121
775	99.773	0.227022
776	99.9582	0.0418142
777	99.9291	0.0709302
778	99.9633	0.0366818
779	99.9759	0.0241123
780	98.9238	1.07624
781	99.9239	0.0760518
782	99.8132	0.186813
783	99.4915	0.508468
784	99.9443	0.0556653
785	99.9307	0.0692751
786	99.8769	0.123109
787	99.7873	0.212699
788	99.9327	0.0672515
789	99.952	0.0480004
790	99.9842	0.0157502
791	99.9253	0.0747265
792	99.8893	0.110662
793	99.7845	0.215501
794	99.8109	0.189094
795	99.871	0.12901
796	99.8144	0.185614
797	99.904	0.0959737
798	99.8113	0.188655
799	99.9534	0.0466229
800	99.8464	0.153591
801	98.9905	1.00947
802	98.655	1.34504
803	98.3305	1.66951
804	98.4223	1.57773
805	99.098	0.902018
806	99.7112	0.288757
807	99.5601	0.439938
808	98.3786	1.62139
809	99.7501	0.249935
810	99.7846	0.215369
811	99.498	0.502043
812	99.7186	0.281431
813	99.6331	0.366914
814	99.6725	0.327495
815	99.6317	0.368269
816	99.7176	0.28239
817	99.9667	0.0333376
818	99.8068	0.193222
819	99.9273	0.0727115
820	99.3638	0.636245
821	99.8025	0.197467
822	99.8636	0.136358
823	99.6178	0.382188
824	99.5116	0.48836
825	99.5011	0.498901
826	99.8527	0.147345
827	98.7878	1.21217
828	98.8733	1.12668
829	99.6632	0.336817
830	99.5924	0.407554
831	99.3421	0.657904
832	99.7343	0.265656
833	98.889	1.11102
834	99.2696	0.730397
835	99.8192	0.180806
836	99.4957	0.504299
837	99.6262	0.373778
838	99.5027	0.497319
839	99.8386	0.161362
840	99.157	0.843032
841	98.4051	1.5949
842	99.5795	0.42048
843	99.7402	0.259809
844	99.0093	0.990707
845	99.7295	0.270522
846	99.877	0.122972
847	98.996	1.00405
848	99.8425	0.157453
849	99.907	0.0930428
850	99.7699	0.23006
851	99.4253	0.574731
852	99.4178	0.582212
853	99.7515	0.248494
854	99.8255	0.174482
855	99.9519	0.048143
856	99.8622	0.137801
857	99.8201	0.179909
858	99.8362	0.163818
859	99.6952	0.304819
860	99.5555	0.444492
861	99.8794	0.120595
862	98.6719	1.32813
863	97.2919	2.70805
864	97.9399	2.06008
865	99.4323	0.567674
866	99.95	0.0499742
867	99.9081	0.0918615
868	99.9757	0.0242876
869	99.8073	0.19274
870	99.8842	0.115841
871	99.2203	0.779728
872	98.7439	1.25611
873	98.8148	1.18523
874	99.7425	0.257525
875	99.4908	0.509234
876	98.6267	1.37327
877	99.4814	0.518563
878	99.5592	0.440816
879	99.3192	0.680806
880	99.4256	0.57438
881	99.5152	0.484785
882	99.8653	0.1347
883	99.4959	0.504108
884	99.5236	0.476432
885	98.4098	1.59024
886	98.1243	1.87569
887	98.5951	1.40491
888	99.8276	0.172401
889	99.6717	0.328335
890	99.8247	0.175311
891	99.7125	0.287508
892	99.9326	0.0673604
893	99.4748	0.525163
894	99.5841	0.415909
895	99.9349	0.0650759
896	99.6357	0.36427
897	99.8529	0.147148
898	99.8815	0.118503
899	99.785	0.215036
900	99.7042	0.295798
901	99.7446	0.255401
902	99.9517	0.0483143
903	99.964	0.0359954
904	99.5181	0.481876
905	99.3864	0.61363
906	99.6657	0.334276
907	99.9204	0.0796223
908	99.9136	0.0863619
909	99.7555	0.244489
910	99.9122	0.0877655
911	99.5907	0.409273
912	99.8021	0.197906
913	99.8137	0.186268
914	99.8122	0.187793
915	99.7816	0.218391
916	99.9047	0.0952721
917	99.6047	0.395304
918	99.8853	0.114748
919	99.9378	0.0622257
920	99.4874	0.512576
921	99.1876	0.81239
922	99.1636	0.836399
923	99.2909	0.709117
924	99.4393	0.560708
925	99.9648	0.0351866
926	99.8068	0.19321
927	99.8177	0.182322
928	99.7439	0.25605
929	99.9122	0.0877648
930	99.1123	0.887739
931	99.3895	0.610456
932	99.5666	0.433357
933	99.7368	0.263192
934	98.9377	1.06231
935	98.7222	1.27779
936	99.6426	0.357354
937	99.3516	0.648421
938	99.2217	0.778312
939	99.5577	0.442257
940	99.6888	0.311152
941	99.9231	0.0769206
942	99.7759	0.224117
943	99.9139	0.0860621
944	99.8159	0.184125
945	99.7199	0.280073
946	99.8191	0.18087
947	99.4044	0.595627
948	99.6895	0.310528
949	99.9375	0.0625071
950	99.8078	0.19217
951	99.9366	0.0634296
952	99.8979	0.102114
953	99.9104	0.0895744
954	99.889	0.111003
955	99.8643	0.135729
956	99.8864	0.113594
957	99.9743	0.0256591
958	99.9626	0.037391
959	99.2975	0.70245
960	99.931	0.0690206
961	99.9608	0.0391999
962	99.9485	0.051508
963	99.7293	0.270698
964	99.392	0.608022
965	99.9037	0.0963276
966	99.901	0.0990223
967	99.7304	0.269605
968	99.8732	0.126788
969	99.8926	0.107409
970	99.9219	0.0780778
971	99.8763	0.123668
972	99.9195	0.0804972
973	99.8788	0.121238
974	99.9033	0.0967396
975	99.8816	0.118443
976	99.9022	0.097763
977	99.826	0.173974
978	99.9132	0.0867799
979	99.9191	0.0809323
980	99.8102	0.189795
981	99.9064	0.0936137
982	99.795	0.204952
983	99.8169	0.183116
984	99.9146	0.0853536
985	99.8944	0.105633
986	99.916	0.084031
987	99.9316	0.0684436
988	99.8383	0.161681
989	99.8692	0.130787
990	99.9315	0.0685269
991	99.7472	0.252788
992	99.8084	0.191585
993	99.8836	0.116433
994	99.8696	0.130414
995	99.8953	0.104748
996	99.8314	0.168581
997	99.8979	0.102104
998	99.8423	0.157727
999	99.9361	0.0639072
1000	99.8901	0.109858
1001	99.9329	0.0670564
1002	99.9666	0.0333601
1003	99.8738	0.126213
1004	99.7378	0.262206
1005	99.4041	0.595919
1006	99.3192	0.680777
1007	99.3413	0.658719
1008	99.4458	0.554218
1009	99.6953	0.304698
1010	99.6629	0.337096
1011	99.8284	0.171573
1012	99.4862	0.51375
1013	99.8081	0.191861
1014	99.7348	0.265226
1015	98.529	1.47103
1016	99.8696	0.130393
1017	99.3024	0.697576
1018	99.6758	0.324223
1019	99.2874	0.712634
1020	99.8191	0.180886
1021	99.7487	0.251337
1022	99.9069	0.0930655
1023	99.901	0.0989738
1024	99.8421	0.157892
1025	99.8423	0.157738
1026	99.9243	0.0757306
1027	99.9127	0.0872891
1028	99.8733	0.126693
1029	99.876	0.12397
1030	99.9409	0.0590625
1031	99.939	0.0610201
1032	99.8149	0.185067
1033	99.8096	0.190439
1034	99.7043	0.295678
1035	99.7701	0.229851
1036	99.8006	0.199394
1037	99.858	0.142027
1038	99.8702	0.12984
1039	99.8806	0.119382
1040	99.7958	0.204153
1041	99.4443	0.55571
1042	99.8105	0.189462
1043	99.7399	0.260064
1044	99.6365	0.363546
1045	99.4855	0.514491
1046	98.5476	1.4524
1047	99.6878	0.312224
1048	99.6952	0.304825
1049	99.5945	0.405514
1050	99.4033	0.596735
1051	99.6344	0.365603
1052	99.72	0.279968
1053	99.6674	0.332582
1054	99.5933	0.406679
1055	99.7466	0.25339
1056	99.7797	0.220264
1057	99.7407	0.25934
1058	99.578	0.421993
1059	99.6239	0.376051
1060	99.6611	0.338918
1061	99.7724	0.227597
1062	99.5559	0.444143
1063	99.4889	0.511113
1064	99.827	0.17295
1065	99.917	0.0829695
1066	99.2068	0.793217
1067	99.9471	0.0528644
1068	99.8923	0.107654
1069	99.9323	0.0676842
1070	99.9709	0.0290968
1071	99.9257	0.0742774
1072	99.9045	0.0954763
1073	99.7987	0.201274
